aX,aY,aZ,gX,gY,gZ
0.602,0.743,0.439,-37.415,238.159,129.089
0.655,0.851,0.432,-28.992,213.806,117.004
0.674,0.876,0.470,-11.230,159.058,93.689
0.673,0.897,0.520,-11.597,131.165,82.764
0.693,0.899,0.503,-33.569,83.801,56.946
0.705,0.985,0.399,-47.607,71.655,48.401
0.677,1.038,0.323,-59.021,78.064,36.072
0.681,1.029,0.199,-53.650,86.609,25.208
0.698,1.004,0.167,-30.701,88.623,7.507
0.707,0.993,0.184,-17.395,80.627,4.578
0.715,1.009,0.213,3.296,49.622,1.892
0.755,1.008,0.258,8.789,30.029,-2.136
0.792,0.982,0.280,13.245,10.315,-8.057
0.835,0.946,0.307,22.522,-23.315,-16.296
0.892,0.881,0.365,25.513,-35.400,-15.076
0.907,0.861,0.381,26.978,-51.636,-9.216
0.915,0.814,0.389,25.330,-55.054,-8.179
0.913,0.788,0.396,19.470,-48.401,-5.188
0.901,0.739,0.400,15.991,-39.368,-1.831
0.890,0.713,0.393,7.385,-17.578,7.019
0.859,0.670,0.352,2.502,-8.240,11.047
0.840,0.649,0.317,-5.676,3.052,12.634
0.829,0.582,0.251,-6.592,5.432,10.742
0.834,0.544,0.233,-3.784,6.653,9.521
0.824,0.496,0.214,-2.075,6.226,11.536
0.817,0.485,0.213,2.502,4.089,14.954
0.811,0.475,0.235,4.883,1.953,14.954
0.808,0.469,0.255,6.775,-0.488,14.160
0.804,0.461,0.297,8.606,-2.869,13.000
0.797,0.461,0.313,7.874,-2.380,12.878
0.787,0.467,0.324,4.578,-0.427,11.597
0.786,0.469,0.329,2.869,-0.122,9.521
0.797,0.464,0.328,0.061,-1.648,6.104
0.806,0.467,0.325,-0.488,-2.258,6.042
0.799,0.476,0.322,-0.061,-0.549,5.615
0.802,0.485,0.311,0.183,1.038,4.395
0.802,0.489,0.302,0.610,2.258,2.869
0.802,0.500,0.288,1.404,1.831,2.197
0.803,0.502,0.293,2.991,-1.282,0.183
0.800,0.508,0.311,2.686,-3.113,0.000
0.798,0.514,0.317,0.427,-5.371,0.305
0.798,0.525,0.313,-0.488,-5.859,0.122
0.799,0.531,0.309,-1.160,-4.456,-0.610
0.802,0.532,0.306,-0.977,-2.930,-0.977
0.807,0.530,0.304,-0.854,-1.099,-1.099
0.803,0.532,0.297,-0.916,-1.343,-0.916
