aX,aY,aZ,gX,gY,gZ
0.309,-0.835,-1.324,-14.587,-47.729,44.861
0.242,-0.675,-0.976,-68.604,-116.455,6.592
0.057,-0.754,-0.536,-85.632,-107.483,1.953
0.051,-0.798,-0.423,-115.906,-29.602,9.033
0.158,-0.777,-0.397,-122.986,6.348,11.841
0.183,-0.771,-0.455,-127.258,24.719,7.019
0.172,-0.852,-0.599,-130.249,10.132,2.502
0.167,-0.896,-0.621,-137.817,-10.681,-0.366
0.143,-0.904,-0.532,-162.048,-50.964,-0.977
0.109,-0.891,-0.453,-172.363,-68.420,-0.732
0.069,-0.887,-0.375,-182.678,-88.318,3.723
0.030,-0.893,-0.238,-184.387,-88.074,8.545
0.048,-0.864,-0.174,-191.711,-74.707,23.193
0.121,-0.719,-0.073,-197.815,-65.735,30.457
0.175,-0.650,-0.030,-210.510,-55.786,36.804
0.277,-0.555,0.099,-217.712,-60.120,35.767
0.299,-0.521,0.208,-224.304,-85.022,25.024
0.238,-0.446,0.434,-221.191,-100.464,15.625
0.179,-0.417,0.516,-208.252,-114.990,-5.127
0.074,-0.421,0.636,-205.383,-108.948,-12.817
0.041,-0.427,0.722,-216.064,-79.834,-21.545
0.011,-0.356,0.911,-223.206,-65.857,-23.071
0.011,-0.302,0.978,-215.576,-45.410,-21.423
0.013,-0.266,1.044,-198.303,-39.795,-20.691
-0.000,-0.272,1.043,-154.907,-38.025,-23.376
-0.047,-0.281,1.028,-140.991,-40.283,-23.987
-0.056,-0.279,1.063,-138.733,-41.809,-21.362
-0.044,-0.241,1.190,-153.625,-31.067,-17.151
-0.040,-0.224,1.249,-154.907,-18.616,-19.714
-0.036,-0.220,1.287,-130.066,-3.296,-22.888
-0.064,-0.260,1.259,-113.525,-9.827,-19.653
-0.093,-0.304,1.216,-91.003,-23.499,-8.789
-0.102,-0.320,1.203,-88.867,-19.104,-4.395
-0.080,-0.296,1.207,-86.853,7.629,-4.395
-0.014,-0.263,1.159,-81.726,20.264,-6.409
0.012,-0.260,1.120,-72.388,23.010,-5.432
0.038,-0.250,1.076,-71.594,14.465,-2.747
0.034,-0.236,1.078,-74.036,-5.188,1.343
0.005,-0.210,1.113,-75.745,-9.644,1.404
0.002,-0.196,1.121,-73.059,-0.427,-3.174
0.012,-0.188,1.097,-68.176,7.446,-6.042
0.011,-0.190,1.079,-61.401,16.296,-8.667
0.010,-0.184,1.049,-61.523,18.372,-8.972
0.019,-0.163,1.046,-65.552,20.874,-8.545
0.056,-0.120,1.053,-65.613,19.226,-6.958
