aX,aY,aZ,gX,gY,gZ
0.967,1.288,1.405,40.649,-22.400,-2.625
0.947,1.429,1.468,61.401,-47.119,-6.958
0.818,1.667,1.509,70.740,-42.175,-0.244
0.738,1.673,1.486,88.989,-11.230,19.348
0.568,1.431,1.352,96.741,-0.854,15.869
0.319,1.076,1.103,98.877,-12.146,-3.296
0.180,0.860,0.950,95.886,-68.054,-67.810
-0.077,0.269,0.581,90.759,-101.318,-103.577
-0.146,-0.094,0.390,82.703,-124.634,-156.006
-0.084,-0.874,0.086,78.125,-110.474,-160.400
0.034,-1.497,-0.105,65.491,-61.401,-116.455
0.038,-1.668,-0.159,44.312,4.761,-66.772
0.104,-1.886,-0.168,38.269,32.227,-67.322
0.259,-1.989,-0.069,48.035,21.851,-114.319
0.745,-2.049,0.401,57.007,-17.700,-142.212
1.009,-1.957,0.643,42.664,-82.275,-145.935
1.298,-1.579,0.776,8.484,-64.941,-105.041
1.211,-1.437,0.645,-82.153,61.707,42.053
0.771,-1.426,0.278,-109.680,122.070,115.784
0.548,-1.431,0.164,-109.558,142.212,185.974
0.189,-1.388,0.116,-95.825,105.408,183.716
0.056,-1.328,0.156,-59.753,5.127,150.696
-0.061,-1.078,0.333,-43.213,-29.480,134.033
-0.081,-0.868,0.459,-36.255,-34.973,118.774
-0.097,-0.449,0.650,-44.434,-15.137,117.737
-0.068,-0.287,0.680,-66.956,27.649,109.009
0.068,-0.066,0.645,-73.730,39.063,98.022
0.137,0.029,0.627,-67.078,43.274,76.111
0.175,0.234,0.657,-58.289,41.687,73.120
0.143,0.333,0.685,-45.166,39.551,74.402
0.093,0.554,0.746,-41.504,40.344,69.214
0.113,0.649,0.777,-35.767,39.734,43.884
0.244,0.703,0.846,-32.227,36.621,29.175
0.336,0.695,0.891,-23.987,20.508,5.920
0.454,0.743,0.994,-20.508,9.155,-0.732
0.459,0.794,1.036,-17.273,-2.441,-12.939
0.492,0.842,1.074,-17.212,-0.305,-22.949
0.553,0.814,1.062,-15.259,1.953,-44.922
0.661,0.734,1.027,-12.024,-1.831,-51.086
0.663,0.695,1.022,-4.639,-9.399,-46.387
0.626,0.616,1.021,-1.892,-8.545,-41.870
0.623,0.571,1.005,1.770,2.197,-42.603
0.676,0.472,0.966,5.188,7.324,-44.556
0.734,0.408,0.956,12.634,10.559,-44.312
0.882,0.251,0.969,13.916,5.798,-42.053
0.912,0.203,0.974,9.155,-16.113,-33.508
0.907,0.164,0.962,4.517,-25.269,-29.175
0.887,0.148,0.948,0.549,-28.259,-18.799
0.811,0.126,0.938,0.793,-21.912,-12.085
0.766,0.113,0.937,-0.793,-3.662,1.160
0.692,0.095,0.917,-2.930,2.747,5.798
0.663,0.086,0.894,-8.118,2.502,8.179
0.620,0.073,0.853,-10.193,-2.991,6.897
0.593,0.083,0.838,-13.245,-12.512,5.676
0.538,0.100,0.809,-13.428,-11.780,6.287
0.521,0.100,0.796,-9.460,-3.174,7.690
0.499,0.101,0.787,-6.653,1.587,8.118
0.490,0.099,0.786,-2.747,8.057,6.348
0.503,0.086,0.784,-0.916,7.568,3.479
0.523,0.077,0.793,2.686,-1.831,-4.089
