aX,aY,aZ,gX,gY,gZ
0.178,-0.146,0.931,3.906,4.456,-0.305
0.209,-0.150,0.945,4.211,-4.639,-6.287
0.261,-0.158,0.955,3.601,-6.287,-7.568
0.289,-0.155,0.945,3.601,-4.700,-6.531
0.294,-0.153,0.944,5.310,-2.075,-3.723
0.297,-0.158,0.960,5.920,-1.831,-2.869
0.293,-0.156,0.968,4.700,-4.211,-3.479
0.286,-0.153,0.967,3.418,-5.371,-4.211
0.283,-0.152,0.966,2.930,-4.456,-4.456
0.291,-0.150,0.969,3.479,-2.502,-3.906
0.297,-0.155,0.979,2.625,-1.404,-1.831
0.308,-0.162,0.998,-0.061,-3.479,-1.221
0.310,-0.161,0.987,-4.211,-5.005,-0.793
0.291,-0.147,0.953,-2.808,-2.014,0.061
0.282,-0.145,0.951,1.526,-0.061,0.366
0.279,-0.143,0.953,0.488,-3.906,-0.793
0.279,-0.143,0.942,-1.404,-6.653,-1.831
0.272,-0.155,0.932,0.488,-4.211,-0.671
0.250,-0.149,0.963,4.028,-0.671,2.258
0.240,-0.142,0.951,2.563,4.883,2.747
0.229,-0.132,0.892,2.258,6.287,2.380
0.228,-0.132,0.885,2.258,-6.348,-0.793
0.236,-0.134,0.920,2.930,-13.733,-3.845
0.246,-0.144,0.941,6.531,-12.329,-6.836
0.253,-0.157,0.983,8.484,-8.057,-6.287
0.257,-0.162,1.001,7.629,-3.174,-5.188
0.262,-0.169,1.015,4.944,-2.258,-4.883
0.264,-0.175,1.010,-0.732,-2.380,-5.127
0.278,-0.176,0.991,-1.648,-3.479,-4.456
0.276,-0.169,0.982,1.160,-0.977,-0.977
0.262,-0.152,0.977,2.747,1.953,-0.122
0.249,-0.139,0.965,2.197,3.540,0.549
0.245,-0.141,0.952,1.343,2.869,0.244
0.251,-0.146,0.947,2.747,1.709,-2.014
0.257,-0.150,0.952,3.723,1.221,-2.686
0.266,-0.173,0.964,3.235,-1.953,-2.808
0.271,-0.185,0.976,2.563,-4.822,-2.625
0.276,-0.188,1.005,1.038,-6.470,-1.770
0.271,-0.183,1.004,-0.305,-0.610,0.366
0.256,-0.174,0.983,-0.366,1.709,1.038

1.473,-0.098,1.282,95.703,-41.809,25.757
1.374,-0.334,1.554,94.177,-75.684,77.576
0.979,-0.565,1.845,69.092,-110.168,129.333
